"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YBR212W"	0.239	0.488	0.411	0.213	0.132	0.336	1.683
"YFL054C"	-0.726	-0.432	-0.386	-0.07	0.3	2.824	1.681
"YDR031W"	-0.236	0.086	0.152	0.363	0.962	2.506	1.677
"YMR114C"	-0.452	0.024	1.182	0.072	0.341	4.285	1.676
"YDR313C"	0.044	0.274	-0.092	-0.215	-0.501	1.827	1.676
"YHR195W"	0.095	0.14	0.621	0.351	0.454	2.422	1.675
"YJL164C"	-0.468	-0.837	0.186	1.354	0.809	1.887	1.674
"YPR150W"	-0.306	-0.446	-0.359	0.021	0.148	1.619	1.674
"YNL104C"	0.56	0.425	0.914	0.552	0.231	0.175	1.673
"YNL100W"	-0.24	-0.103	-0.182	0.527	0.832	1.576	1.671
"YPL004C"	0.288	0.473	0.166	0.704	1.085	1.956	1.669
"YBR280C"	-0.328	-0.345	-0.201	0.154	-0.303	2.377	1.667
"YER141W"	0.066	0.487	0.689	1.205	0.883	1.606	1.666
"YGR028W"	-0.204	0.207	0.51	0.744	1.336	1.564	1.666
"NORF 8"	0.118	0.274	-0.014	0.347	0.464	1.182	1.663
"YGR019W"	-0.064	-0.158	0.16	0.511	0.644	1.48	1.661
"YNR002C"	-0.085	-0.065	0.018	0.128	0.067	0.9	1.658
"YKL142W"	-0.001	0.296	0.177	0.743	1.541	2.75	1.653
"YNL305C"	0.007	0.302	0.569	0.492	1.204	2.74	1.651
"YBR286W"	0.631	0.557	0.815	0.74	0.624	0.498	1.644
"YMR090W"	-0.117	-0.108	0.595	0.468	1.346	2.57	1.642
"YMR133W"	-0.391	-0.059	0.24	0.346	0.997	1.67	1.64
"YKL163W"	0.467	0.519	0.526	0.183	0.375	1.423	1.638
"YEL041W"	-0.768	-0.512	0.461	-0.012	0.358	1.102	1.634
"YOR052C"	0.109	0.298	0.424	0.627	0.655	2.436	1.632
"YGL059W"	-0.943	-1.575	0.554	0.393	-0.506	1.876	1.625
"YOR136W"	0.127	0.386	0.494	0.71	1.044	1.537	1.623
"YGR182C"	0.15	-0.159	0.186	0.456	0.624	0.898	1.618
"YDL091C"	-0.188	-0.072	-0.157	0.177	0.455	1.537	1.615
"YDL004W"	0.126	0.105	0.086	0.557	0.784	1.838	1.613
"YKL016C"	-0.185	-0.225	-0.333	-0.029	0.321	1.582	1.613
"YNL045W"	0.212	0.369	0.559	0.571	0.793	1.66	1.613
"YGR238C"	-0.2	-0.086	0.128	0.207	0.368	1.359	1.612
"YDL067C"	-0.156	-0.05	0.084	0.381	0.637	1.047	1.604
"YDR377W"	0.151	0.299	0.27	0.35	1.026	1.146	1.604
"YDR262W"	0.171	0.196	-0.078	-0.246	-0.026	1.207	1.603
"YLR271W"	-0.084	0.066	0.167	0.477	0.532	1.59	1.601
"YER035W"	-0.123	-0.033	-0.194	0.087	0.865	2.404	1.596
"YDR074W"	0.243	0.214	0.159	1.255	1.253	2.187	1.594
"YBR050C"	-0.201	-0.053	-0.083	-0.122	-0.556	0.252	1.593
"YCR061W"	-0.758	0.087	0.558	0.382	0.451	1.758	1.592
"YCR039C"	0.04	0.826	0.309	0.476	0.49	1.64	1.585
"YER182W"	-0.327	-0.189	-0.22	0.194	0.437	2.181	1.585
"YDR255C"	-0.165	-0.196	0.147	0.483	-0.512	1.255	1.584
"YNR073C"	-0.487	-0.232	-0.265	-0.131	-0.009	2.517	1.584
"YDR149C"	-0.105	0.107	0.172	0.159	-0.217	0.586	1.58
"YGL158W"	-0.712	-2.446	0.307	0.069	-0.72	1.46	1.578
"YJL144W"	-0.352	-0.379	0.239	0.417	0.161	2.422	1.574
"YIL111W"	-0.02	0.347	0.701	1.363	1.872	3.289	1.562
"YJL079C"	-0.197	0.351	0.965	1.021	1.559	1.709	1.556
"YJL153C"	-0.639	-0.348	0.332	0.009	-0.306	1.346	1.546
"YBR269C"	-0.082	-0.243	-0.204	0.366	0.782	1.756	1.543
"YDR298C"	-0.126	0.084	0.641	0.502	0.722	1.305	1.541
"YMR040W"	-0.355	-0.469	-0.359	0.411	-0.022	1.035	1.531
"YEL060C"	0.266	-0.643	0.414	0.189	0.436	2.073	1.53
"YJR080C"	0.075	-0.057	0.296	0.524	0.157	1.731	1.529
"YOR245C"	0.155	0.11	0.249	0.053	0.08	1.111	1.528
"YBR297W"	-1.116	-0.859	0.697	-0.166	-0.193	0.949	1.528
"YLL001W"	0.11	0.153	0.214	0.565	0.735	1.368	1.526
"YIL146C"	-0.112	-0.495	-0.209	-0.523	-0.759	0.95	1.522
"YML004C"	0.229	0.533	0.21	0.404	0.814	1.992	1.52
"YGL121C"	0.118	0.362	0.236	0.422	0.902	1.608	1.518
"YNL331C"	-0.013	0.248	0.084	-0.162	-0.154	0.808	1.518
"YBR204C"	0.019	-0.022	0.1	0.783	1.007	1.556	1.516
"YLL020C"	0.045	0.185	-0.203	-0.081	0.253	0.554	1.512
"YLL019C"	0.057	-0.043	-0.174	0.051	-0.284	1.042	1.507
"YER142C"	-0.285	-0.028	0.304	0.252	0.201	1.396	1.506
"YHR171W"	-0.536	-0.339	0.526	0.386	-0.341	1.164	1.503
"YMR030W"	-0.576	-0.593	-0.24	-0.044	0.142	1.976	1.501
"YMR139W"	0.035	0.157	-0.091	0.596	0.465	1.562	1.499
"YBR026C"	-0.538	-0.316	0.39	0.781	0.389	1.649	1.498
"YBR287W"	-0.358	0.138	1.14	0.813	0.121	2.018	1.495
"YMR186W"	0.163	0.213	-0.346	0.083	0.441	0.699	1.494
"YHR199C"	0.198	0.139	-0.416	-0.169	-0.053	0.904	1.493
"YBR053C"	0.189	0.201	0.521	0.676	0.215	1.524	1.491
"YLR152C"	-0.237	-0.233	0.089	0.288	0.647	1.154	1.488
"YNL055C"	0.03	-0.092	0.092	0.627	0.535	1.437	1.486
"YJL141C"	0.672	0.091	-0.006	0.027	0.298	2.011	1.481
"YGR130C"	0.287	0.311	0.181	0.553	0.382	1.661	1.481
"YER088C"	0.379	0.296	0.664	0.31	0.288	0.627	1.48
"YDR032C"	0.185	0.404	0.839	1.225	1.316	1.863	1.471
"YCR091W"	-0.317	-0.198	-0.19	0.24	0.136	1.754	1.465
"YNL036W"	-0.008	-1.137	-2.302	-2.043	-2.472	1.33	1.464
"YDR256C"	-0.774	-0.454	0.262	-0.283	-0.975	0.91	1.461
"PNCA"	-1.41	-1.766	0	0	-1.653	0.55	1.459
"YPR006C"	-0.356	-0.37	-0.41	-0.333	0.185	1.005	1.449
"KAN-MX"	0.162	0.159	0.609	0.481	0.447	1.541	1.449
"YBL066C"	0.067	0.712	-0.559	-0.325	-0.328	0.419	1.448
"YHL023C"	-0.174	0.04	-0.137	-0.03	-0.055	0.684	1.448
"YLR294C"	-0.004	-0.289	-0.138	0.277	0.548	1.483	1.447
"YKL188C"	0.12	-0.456	-0.443	0.079	0.005	0.997	1.446
"YLR251W"	-0.196	0.06	-0.069	0.511	1.08	2.229	1.445
"YOR347C"	-0.093	0.281	0.543	0.895	1.451	1.686	1.444
"EMPTY"	0	0	-0.363	0	0	0.87	1.444
"YKL034W"	0.178	0.387	0.66	0.575	1.011	0.233	1.444
"YBL086C"	-0.398	-0.611	-0.087	0.032	-0.068	1.729	1.444
"YDR516C"	-0.11	0.246	0.38	0.999	1.26	2.54	1.443
"YNL202W"	-0.238	-0.053	-0.092	-0.103	0.198	1.16	1.441
"YKL050C"	-0.516	-0.321	-0.278	-0.429	-0.247	0.923	1.441
"YOR152C"	-0.224	0.52	0.326	0.226	0.113	0.836	1.437
"YDR223W"	-0.912	-0.056	0.937	0.138	0.833	1.242	1.437
"YDL020C"	-0.03	-0.646	-0.528	-0.311	-0.451	1.344	1.435
"YFR011C"	-0.136	0.048	0.355	0.504	0.764	1.25	1.435
"YGR086C"	0.32	0.074	-0.492	0.137	0.245	0.666	1.435
"YGR289C"	-0.541	-0.477	-0.006	-0.318	-0.336	1.761	1.433
"YDR003W"	-0.15	1.028	-0.17	0.417	0.578	1.537	1.433
"YKL035W"	0.314	0.595	0.763	1.349	1.12	2.225	1.43
"YOR383C"	0.215	-0.198	-0.392	-0.201	-0.299	1	1.43
"YHR028C"	0.181	0.445	0.707	0.724	0.739	1.222	1.426
"YJR077C"	0.068	-0.206	0.23	0.564	0.846	0.67	1.424
"YML131W"	-0.16	-0.448	0.384	0.187	0.119	2.112	1.423
"YGR046W"	0.046	0.051	-0.377	-0.168	0.122	1.126	1.421
"YNL006W"	0.04	0.108	-0.217	0.318	0.273	0.664	1.42
"YKL091C"	-0.269	-0.676	0.034	0.9	0.568	2.02	1.42
"YER162C"	-0.189	0.203	0.165	0.175	0.28	1.28	1.419
"YMR195W"	-0.095	0.298	0.172	0.449	1.17	1.984	1.418
"YMR140W"	-0.038	-0.06	-0.433	-0.231	-0.098	0.672	1.416
"YKL133C"	-0.125	-0.038	0.431	0.28	-2.364	1.865	1.413
"YDR275W"	-0.635	0.202	0.447	-0.033	-0.102	2.129	1.413
"YBR021W"	0.153	0.06	0.585	0.162	0.118	0.229	1.413
"YPL147W"	0.293	0.171	0.553	0.172	0.79	0.653	1.413
"YNL332W"	-0.707	-0.324	0.77	-0.255	0.229	0.895	1.41
"YLL028W"	0.09	0.335	0.727	0.923	1.225	1.052	1.409
"YKL121W"	0.117	0.162	0.087	0.381	0.91	1.396	1.406
"YNL077W"	-0.274	-0.36	-0.458	-0.167	-0.101	1.315	1.405
"YOR384W"	0.247	-0.233	0.286	-0.005	-0.22	0.677	1.405
"YER039C"	-0.383	-0.11	0.364	0.302	0.743	1.163	1.403
"YER175C"	-0.34	-0.139	0.13	0.107	0.129	1.326	1.403
"EMPTY"	0	0.878	0	0	0	0	1.402
"YDL079C"	0.093	1.195	0.017	0.102	0.157	1.87	1.401
"YDR219C"	-0.133	-1.37	0.25	0.433	-2.327	1.866	1.399
"YOR303W"	0.242	0.221	0.525	-0.699	-0.983	-0.287	1.398
"YDL025C"	-0.351	-0.066	0.382	0.62	1.351	1.341	1.397
"YPL057C"	0.1	0.214	0.689	0.237	0.47	0.766	1.395
"YGL199C"	0.146	0.023	0.029	0.443	0.797	1.912	1.394
"YOL109W"	0.44	0.425	0.465	0.39	0.688	0.838	1.393
"YMR302C"	-0.173	0.03	-0.337	0.355	0.563	1.376	1.393
"YHR124W"	0.005	0.371	0.682	0.151	0.454	0.971	1.391
"YOR285W"	-0.185	0.009	0.509	0.785	1.207	1.847	1.391
"YHR087W"	-0.387	-0.338	-0.109	0.326	1.187	3.116	1.389
"YJR019C"	-0.365	0.196	0.286	0.148	0.774	1.649	1.389
"YPL015C"	0.153	0.397	0.585	0.141	0.362	0.332	1.384
"YOR230W"	0.17	0.942	0.937	0.81	1.202	1.169	1.383
"YJL166W"	0.005	-0.24	0.149	0.604	0.746	1.878	1.383
"YJL048C"	-0.588	-0.944	0.82	0.228	-0.283	1.546	1.382
"YGL145W"	-0.011	0.111	0.384	0.2	-0.054	0.722	1.381
"YLR093C"	0.281	0.079	0.039	0.417	0.608	1.921	1.381
"YOR389W"	-0.266	-0.212	0.296	-0.022	-0.458	1.252	1.381
"YLR193C"	0.071	0.015	0.076	0.372	0.335	1.602	1.38
"YER004W"	0.24	0.332	0.333	0.146	0.177	1.195	1.379
"YOR186W"	-0.184	-0.27	0.088	0.02	0.281	1.478	1.378
"YDL234C"	-0.757	-0.642	0.499	0.32	-0.156	1.703	1.376
"YPL133C"	-0.036	0.051	0.519	0.164	-0.129	0.933	1.376
"YAR023C"	-0.151	0.36	0.149	0.29	-0.889	1.332	1.374
"YDL194W"	-0.069	0.068	0.089	-0.042	-0.19	0.638	1.373
"NORF 95"	0.037	0.051	-0.035	0.473	0.792	0.65	1.372
"YGL213C"	0.083	-0.156	0.213	-0.145	-0.106	-0.602	1.369
"YOR135C"	0.171	0.48	0.249	0.707	0.865	1.177	1.366
"YIL099W"	-0.557	-0.374	-0.504	0.005	-0.343	0.804	1.361
"YJL112W"	-0.278	-0.364	0.381	0.213	0.22	1.376	1.361
"YNL125C"	0.146	-0.05	0.089	0.232	0.429	0.763	1.359
"EMPTY"	0.417	0.23	-0.27	0.166	-2.305	-1.751	1.359
"YDL247W"	-0.138	-0.106	0.384	0.104	-0.21	0.405	1.359
"YOR041C"	-0.005	0.058	-0.365	-0.08	0.26	1.952	1.358
"YEL070W"	-1.183	-0.809	0.461	-0.26	-1.01	1.733	1.357
"YHR092C"	0.025	0.492	0.668	1.438	1.59	1.944	1.357
"YOR032C"	-0.817	-2.225	0.727	0.083	-0.031	1.974	1.357
"YEL069C"	-0.722	-0.57	0.322	-0.189	-0.146	1.237	1.357
"YHR055C"	0.002	-0.318	-0.331	-0.596	-0.147	-0.393	1.355
"YNL146W"	-0.399	-0.363	-0.247	0.123	0.37	1.315	1.353
"YKL157W"	0.295	0.592	0.162	0.272	0.534	1.038	1.352
"YOR181W"	-0.688	-0.293	0.665	-0.125	0.19	1.001	1.352
"YGL180W"	-0.057	-0.464	-0.204	-0.011	-0.261	1.006	1.351
"YFL011W"	-1.337	-0.92	0.228	-0.263	-0.54	1.254	1.351
"YMR197C"	-0.04	-0.098	0.485	0.242	0.96	1.614	1.35
"YHR138C"	-0.135	-0.035	-0.108	0.275	0.662	1.329	1.35
"YLR279W"	-0.179	0.117	-0.193	0.009	-0.156	0.798	1.347
"YDL222C"	-0.363	0.29	-1.384	-0.669	-0.229	1.018	1.346
"YBL033C"	0.056	-0.048	-0.093	0.085	0.337	1.171	1.346
"YMR115W"	-0.206	-0.038	0.487	0.324	0.444	1.167	1.344
"YKL067W"	-0.01	-0.057	-0.137	0.584	0.841	2.196	1.344
"YAL002W"	0.001	0.695	-0.127	0.154	-0.104	0.101	1.341
"YCL049C"	0	0.096	0.533	0.379	0.745	0.992	1.34
"YMR148W"	0.105	0.116	0.35	0.549	0.44	1.443	1.34
"YDR306C"	-0.048	-0.047	0.07	0.077	0.235	1.884	1.339
"YFL055W"	-1.742	-0.61	0.184	-0.322	-0.264	1.139	1.338
"YCR023C"	0.257	0.268	0.824	0.871	0.509	1.232	1.336
"YDL027C"	0.08	-0.547	-0.23	0.117	-0.149	0.726	1.334
"YBR085W"	-0.402	-0.39	0.604	0.239	-0.502	0.524	1.332
"YGL046W"	-0.493	-0.799	0.054	-0.046	-0.785	1.153	1.332
"YER037W"	0.016	-0.103	0.631	0.747	0.691	1.279	1.332
"YOR107W"	-0.115	0.19	0.952	-0.091	0.44	0.451	1.331
"YLL016W"	-0.172	-0.049	-0.239	-0.163	-0.041	0.296	1.331
"YDR169C"	0.002	0.128	0.157	-0.126	-0.025	0.588	1.329
"YOL118C"	-0.105	-0.247	0.058	0.346	0.211	0.769	1.329
"YER033C"	-0.126	-0.091	0.352	0.449	0.731	1.135	1.327
"YPR158W"	0.098	0.038	-0.34	0.36	0.664	1.241	1.327
"YLL055W"	-0.303	-0.359	0.181	0.058	-0.051	0.973	1.324
"YPL219W"	0.911	1.035	0	-3.828	0	0.842	1.322
"YBR285W"	-0.13	0.394	0.063	-0.045	-0.198	1.849	1.321
"YGL188C"	-0.418	-0.488	-0.002	0.48	0.561	0.501	1.319
"YOL119C"	0.131	0.118	-0.001	-0.134	-0.3	1.148	1.319
"YJL036W"	-0.305	-0.045	0.341	0.028	0.326	1.354	1.318
"YPL166W"	-0.026	-0.643	0.107	0.771	0.416	1.503	1.317
"YOR007C"	0.325	0.311	0.345	0.139	0.342	1.209	1.314
"YHR080C"	0.114	0.028	0.011	0.622	0.613	1.244	1.312
"YDR173C"	-0.157	0.338	0.189	0.194	0.038	0.897	1.312
"YKL036C"	-0.085	0.341	0.008	0.137	0.673	1.786	1.311
"YHR015W"	0.105	-1.25	0.11	-0.274	0.806	1.093	1.31
"NORF 87"	-0.005	0.233	0.459	0.6	0.891	0.346	1.31
"YMR272C"	0.085	0.339	0.896	0.863	1.334	0.913	1.308
"YPR194C"	-0.069	0.144	-0.031	0.511	1.098	0.448	1.308
"YOR227W"	-0.149	0.127	-0.243	0.007	0.539	0.344	1.306
"NORF 47"	-0.272	-0.178	-0.412	0.195	0.274	0.474	1.306
"YBR019C"	-0.568	-0.327	0.577	0.055	-1.067	0.934	1.305
"YOL116W"	-0.415	-0.811	0.474	0.121	-0.093	1.089	1.303
"YNL033W"	-0.167	-0.133	0.192	0.366	0.69	1.264	1.302
"YPR172W"	0.341	0.106	-0.169	-0.074	0.116	1.527	1.301
"YJL016W"	0.088	0.096	0.246	0.244	0.036	0.617	1.301
"YJL017W"	-0.079	0.897	0.523	0.323	0.118	0.675	1.301
"YJR085C"	0.238	0.233	0.667	0.942	0.962	1.258	1.3
"YJL100W"	-0.229	-0.185	-0.155	-0.039	0.207	1.489	1.299
"YGL198W"	-0.212	0.081	0.519	0.643	0.678	1.599	1.298
"YDR330W"	-0.167	0.097	-0.265	0.099	-0.088	2.584	1.297
"YOL082W"	0.07	0.709	0.378	0.527	0.859	1.924	1.296
"YER174C"	0.166	0.195	0.151	-0.41	0.073	0.284	1.293
"YBL058W"	-0.274	0.045	0.345	-0.009	0.245	1.143	1.293
"YAL055W"	-0.244	0.069	-0.248	0.229	-0.487	-0.24	1.293
"YLR081W"	0.116	0.232	0.158	0.775	1.14	1.647	1.292
"YGR044C"	0.14	0.238	0.189	0.546	0.674	1.589	1.286
"YNL203C"	-0.043	-0.069	-0.252	0.11	0.102	1.137	1.284
"YMR098C"	-0.61	0.892	0.666	0.424	-0.098	1.299	1.283
"YJR127C"	0.033	0.184	0.075	0.457	0.251	0.881	1.283
"YOR097C"	-0.157	0.297	0.133	0.199	-0.025	1.638	1.282
"YPL150W"	-0.14	0.001	0.121	0.681	0.737	1.013	1.28
"YDR293C"	0.231	0.144	-0.377	-0.21	-0.05	0.354	1.279
"YIL122W"	-0.585	-1.166	-0.876	-0.607	-0.265	1.407	1.277
"NORF 2"	-0.124	0.17	0.025	0.475	0.328	1.148	1.276
"YGR022C"	-0.09	-0.112	0.028	0.237	0.276	0.756	1.275
"YGL096W"	-0.504	-0.267	-0.23	0.172	0.182	1.337	1.273
"YNL196C"	-0.366	-0.175	0.409	-0.181	0.39	0.717	1.272
"YDL154W"	-0.777	0.005	-0.572	-0.304	-0.396	1.336	1.27
"YBR103W"	-0.371	-0.29	0.448	0.169	-0.044	0.611	1.27
"YPL156C"	0.008	-0.187	0.149	0.041	-0.243	0.747	1.266
"YOR261C"	0.327	0.104	0.329	0.043	0.381	1.505	1.266
"YHL010C"	-0.409	-0.159	0.057	0.038	-0.449	1.533	1.264
"YKL147C"	-0.122	-0.038	-0.327	-0.171	0.054	0.803	1.261
"YLR001C"	0.352	0.325	0.075	0.491	-0.034	1.096	1.256
"YFL021W"	-0.046	-0.033	0.223	-0.241	-0.378	0.649	1.254
"YDR030C"	-0.638	-0.614	0.219	0.056	-0.019	2.086	1.254
"YMR009W"	-0.14	-0.018	0.204	-0.08	0.364	1.455	1.253
"YJR036C"	-0.463	-0.542	-0.315	0.115	-0.259	1.129	1.25
"YNL007C"	0.12	-0.455	-0.015	0.2	0.386	1.507	1.25
"YLR346C"	-0.538	-0.661	-0.269	-0.278	-0.283	1.158	1.248
"YOL131W"	-0.56	-0.58	-0.763	-0.108	-0.54	0.554	1.247
"YFL018C"	0.103	0.142	0.409	0.621	0.797	0.832	1.246
"YPR191W"	0.112	0.34	-0.141	0.242	0.437	0.691	1.244
"YJR020W"	-0.188	0.168	-0.113	-0.096	0.548	1.447	1.241
"YDR105C"	0.055	0.355	0.856	0.621	1.118	1.064	1.241
"YIL119C"	0.158	0.584	0.657	0.928	0.778	1.455	1.237
"YOR037W"	-0.363	-0.013	0.502	-0.009	0.431	1.058	1.235
"YHL047C"	-0.53	-0.564	0.08	-0.481	-0.845	0.614	1.231
"YJL068C"	0.05	0.176	0.383	0.588	0.668	1.114	1.23
"YDR287W"	-0.032	0.033	0.444	0.419	-0.008	1.575	1.229
"YDL183C"	0.04	-0.312	-0.311	-0.293	-0.677	1.202	1.226
"YMR188C"	-0.103	0.01	0.467	0.281	1.242	2.076	1.225
"YPL060W"	-0.831	-2.645	0.402	0.241	-0.354	1.027	1.224
"YGR102C"	-0.173	-0.113	-0.15	-0.202	0.266	1.521	1.224
"YLL017W"	-0.012	0.001	0.118	0.212	-0.038	0.313	1.223
"YDR275W"	-0.504	-0.719	0.17	0.206	-0.39	1.142	1.222
"YGL146C"	-1.7	-1.046	0.027	0.287	-0.351	0.943	1.221
"YMR068W"	-0.395	-0.527	-0.359	0.231	-0.027	1.793	1.221
"YIL006W"	-0.296	-0.135	0.119	-0.328	0.114	0.959	1.221
"YPL031C"	0.013	-0.09	0.49	0.123	0.579	0.863	1.22
"YJR034W"	-0.098	0.173	0.115	0.504	0.808	1.897	1.219
"YML030W"	-0.067	0.04	0.178	0.254	0.603	0.703	1.218
"YLR023C"	0.251	0.532	0.409	0.318	0.395	0.584	1.215
"YOL155C"	0.151	0.213	0.2	0.491	0.91	0.412	1.215
"YGR196C"	-0.028	0.104	0.327	0.191	0.634	0.887	1.212
"YMR027W"	0.079	0.13	-0.084	-0.013	0.714	1.403	1.211
"YKR009C"	-0.039	0.114	0.217	0.414	0.39	0.813	1.21
"YBR083W"	-0.126	-0.079	0.313	-0.181	0.296	1.27	1.208
"YOR081C"	0.064	0.063	0.222	-0.056	-0.08	0.296	1.207
"YDR455C"	0.208	0.218	0.112	0.452	0.171	0.307	1.207
"YLR283W"	-0.104	-0.154	0.166	0.187	0.866	1.542	1.206
"YHR016C"	-0.001	0.227	-0.024	0.456	1.231	1.855	1.206
"YHR213W"	0.187	0.065	-0.018	0.047	-0.344	-0.603	1.204
"YLR369W"	0.033	-0.075	0.027	0.057	0.306	0.997	1.203
"YHR161C"	0.13	0.187	0.318	0.445	0.532	1.08	1.201
"YEL073C"	-0.061	0.434	0.045	0.36	-0.112	0.832	1.2
"YCL033C"	0.054	0.51	0.15	0.483	0.269	1.518	1.2
"YJR039W"	-0.138	-0.18	-0.341	0.003	0.064	1.418	1.199
"YDR317W"	-0.222	-0.119	0.19	0.039	0.451	0.435	1.199
"YKL064W"	0.273	0.317	0.384	0.491	0.362	1.319	1.198
"YDR205W"	-0.039	0.293	0.61	0.215	0.344	0.761	1.194
"YKL146W"	-0.461	-0.093	0.189	-0.018	0.285	1.504	1.193
"YBR119W"	-0.036	-0.033	0.57	0.279	-0.24	0.835	1.192
"YDR131C"	-0.48	-0.296	0.197	0.098	-0.398	1.128	1.192
"YHR139C"	-0.35	-0.638	0.374	-0.058	-0.042	0.563	1.188
"YIL172C"	-0.193	-0.121	0.474	-0.171	0.13	0.749	1.187
"YHR057C"	0.039	-0.054	-0.029	0.215	0.412	1.413	1.186
"YPR192W"	-0.487	-0.222	0.053	-0.076	0.145	0.853	1.186
"YLL006W"	0.309	0.386	0.153	0.13	0.413	1.208	1.186
"YHR160C"	-0.344	-0.455	0.134	0.613	-0.403	0.686	1.186
"YBL050W"	0.088	0.193	0.153	0.351	0.28	1.705	1.186
"YHR162W"	0.16	0.064	-0.047	0.189	0.453	0.359	1.184
"YMR034C"	-0.335	-0.395	-0.327	-0.685	-0.375	-0.693	1.184
"YDR033W"	0.262	0.504	0.741	0.827	0.791	0.255	1.184
"YMR155W"	-0.269	-0.429	0.908	0.662	0.55	1.629	1.183
"YDL238C"	-1.457	-0.859	0.306	0.166	0.244	1.213	1.183
"YOR156C"	-0.03	-0.511	-0.349	-0.401	-0.778	0.271	1.183
"YCR004C"	0.285	0.369	0.487	0.534	0.941	1.463	1.183
"YFL051C"	-0.397	-0.204	0.325	-0.18	-0.086	1.16	1.182
"YNL223W"	-0.654	-0.646	0.043	0.129	-0.19	0.966	1.181
"YCR096C"	-0.209	-0.174	-0.136	-0.058	0.628	0.756	1.179
"YDR218C"	-1.755	-0.317	0	-0.695	-0.973	1.317	1.178
"YOL075C"	0.186	0.369	0.403	0.331	0.231	0.607	1.178
"YBL042C"	0.408	0.426	0.978	0.299	0.997	-0.052	1.177
"YBL102W"	0.219	0.346	0.263	0.274	0.584	1.176	1.177
"YMR104C"	-0.694	-1.937	0.568	0.49	0.156	1.423	1.175
"YOR228C"	0.041	0.852	0.8	0.625	0.581	1.12	1.175
"YDL174C"	0.086	0.407	-0.057	0.12	0.115	0.21	1.175
"YDR055W"	0.218	0.446	1.063	0.979	1.032	1.369	1.173
"YER020W"	-0.677	-0.12	0.615	0.257	-0.211	1.724	1.172
"YHR182W"	-0.021	-0.2	0.147	0.019	0.159	0.496	1.171
"YFR049W"	-0.068	0.119	0.319	0.036	0.209	0.845	1.171
"YHR184W"	-1.486	-0.203	0.62	-0.085	-0.181	0.953	1.171
"YPL240C"	0.093	0.079	-0.498	0.091	0.549	1.076	1.171
"YNL012W"	0.002	-0.16	-0.284	0.051	0.011	1.357	1.17
"YHR082C"	-0.12	-0.102	-0.452	-0.44	0.079	0.052	1.17
"YJR050W"	-0.3	0.036	-0.052	0.02	0.335	1.373	1.169
"YMR255W"	0.264	0.147	0.286	0.191	0.354	1.151	1.169
"YDR473C"	-0.138	-0.293	0.147	-0.361	-0.092	1.088	1.167
"YKL088W"	0.406	0.146	0.273	-0.057	-0.873	1.253	1.167
"YDR022C"	-0.407	0.394	-0.15	-0.046	-0.187	1.068	1.165
"YDR323C"	-0.565	-0.147	0.303	0.29	0.69	0.944	1.163
"YDR322W"	-0.964	-0.677	0.252	0.057	-0.038	0.871	1.159
"YGL047W"	-0.038	-0.117	-0.12	0.427	0.793	2.152	1.159
"YDR273W"	-1.394	-0.569	0.467	0.338	-0.681	0.883	1.158
"YAL026C"	0.246	0.796	0.384	0.981	1.02	1.646	1.157
"YKL094W"	0.072	0.153	0.079	0.368	0.282	1.532	1.156
"YGR258C"	0.097	-0.122	0.298	0.338	-0.163	1.181	1.156
"YLR170C"	-0.001	-0.315	0.331	0.302	0.767	1.407	1.156
"YOL165C"	0.157	0.123	-0.199	-0.219	-0.405	0.961	1.156
"YJL027C"	-0.809	-0.652	-1.197	-0.611	-0.659	0.403	1.155
"YLR253W"	0.082	0.096	0.24	0.185	0.448	0.512	1.153
"YJL059W"	-0.121	0.093	0.78	0.654	0.853	1.102	1.153
"YNL156C"	0.24	0.293	0.108	0.251	0.463	1.442	1.152
"YDR319C"	-0.071	-0.006	0.743	0.452	0.347	1.003	1.151
"YOR089C"	0.11	0.36	-0.006	-0.132	0.509	1.814	1.15
"YHR178W"	0.17	-0.254	0.128	0.14	0.347	0.5	1.15
"YLR307W"	-1.152	-1.084	-0.237	-0.065	-0.045	1.941	1.149
"YAL049C"	0.152	0.292	-0.153	0.033	0.337	1.063	1.148
"YKL039W"	0.339	0.232	0.103	0.233	0.28	0.436	1.147
"EMPTY"	0	0	0	0.468	2.166	0	1.147
"YCL067C"	-0.044	0.124	0.288	0.349	0.682	1.101	1.145
"YLR211C"	-0.044	-0.231	-0.221	0.133	0.25	1.022	1.145
"YGR053C"	-2.035	-1.028	0.347	0.017	-0.062	1.131	1.144
"YMR262W"	-0.182	-0.09	0.418	0.399	0	0.79	1.144
"YHR180W"	0.108	-0.335	0.072	0.096	-0.034	0.783	1.144
"YIL102C"	-0.482	-0.058	-0.396	-0.392	-0.052	0.38	1.143
"YDL244W"	-0.663	-0.041	-0.128	-0.701	-0.665	1.33	1.143
"YNL180C"	0.311	0.017	-0.115	-0.178	-0.116	0.823	1.142
"YKL027W"	-0.027	0.168	0.174	1.023	0.445	1.302	1.141
"YGR231C"	0.004	-0.077	0.478	0.277	0.343	1.626	1.14
