"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YPL054W"	-0.411	-0.51	-0.049	-0.149	-0.071	0.839	2.322
"YMR031C"	-0.055	0.113	0.287	0.605	1.086	1.188	2.319
"YIL136W"	-0.92	-0.526	0.354	-0.007	2.573	3.914	2.318
"YKL093W"	-0.142	0.467	0.206	0.161	-0.03	2.251	2.314
"YJL067W"	-0.268	-0.192	-0.292	0.163	0.241	2.258	2.309
"YJL163C"	0.168	0.333	0.138	0.486	0.381	1.402	2.308
"YOL032W"	-0.03	0.111	0.138	0.452	0.552	3.215	2.303
"YPL119C"	-0.199	-0.772	0.01	-0.299	-0.615	1.61	2.301
"YLR356W"	-0.069	0.566	0.548	1.078	1.289	3.088	2.27
"YPR020W"	-0.044	-0.007	0.059	0.338	0.699	1.91	2.262
"YGR174C"	-0.135	-0.133	-0.025	0.584	0.81	2.465	2.259
"YDR513W"	0.137	0.203	0.212	0.552	1.126	2.318	2.258
"YER096W"	0.09	0.192	0.469	0.404	-0.257	0.902	2.257
"YGL037C"	0.255	0.414	0.189	1.382	1.77	2.959	2.256
"YDR001C"	0.233	0.119	0.366	1.106	1.033	2.2	2.256
"YOL153C"	-0.186	0.002	0.401	0.288	0.875	1.454	2.249
"YBR067C"	0.184	0.345	0.225	0.336	0.292	1.762	2.246
"YDL181W"	-0.153	0.353	0.379	0.842	0.509	1.737	2.231
"YNR007C"	-0.149	-0.224	-0.106	0.317	0.108	2.509	2.231
"YJR048W"	-0.071	-0.142	-0.042	0.105	0.565	1.302	2.226
"YGL062W"	0.1	0.313	-1.161	-0.65	-0.594	-0.693	2.224
"YBR039W"	0.18	-0.059	0.377	0.232	0.737	1.588	2.217
"YPL135W"	0.1	0.187	-0.155	-0.069	0.069	1.586	2.21
"YOL053C"	-0.056	-0.079	0.008	1.122	1.217	2.615	2.206
"YDL233W"	-0.9	-0.391	0.269	-0.193	-0.219	1.2	2.198
"YBL030C"	0.646	0.526	0.826	0.602	1.092	0.885	2.197
"YOR059C"	-0.462	0.021	0.924	0.416	0.695	1.287	2.196
